Time,FPz,Cz
5984.3750,34.4791,55.4121
5992.1875,27.2918,40.4989
6000.0000,23.3942,32.1471
6007.8125,32.3260,35.7393
6015.6250,25.9390,44.9330
6023.4375,20.5400,49.2530
6031.2500,19.9995,44.4201
6039.0625,15.3315,46.9994
6046.8750,26.1108,71.9543
6054.6875,21.6172,57.5305
6062.5000,18.8650,58.6609
6070.3125,14.9872,60.6340
6078.1250,36.6835,77.1742
6085.9375,32.4858,70.4190
6093.7500,38.2363,59.7015
6101.5625,34.4453,36.9405
6109.3750,34.7744,26.8343
6117.1875,33.5921,24.9682
6125.0000,32.9341,46.7982
6132.8125,34.7967,65.6967
6140.6250,28.9999,70.0736
6148.4375,19.6558,67.9885
6156.2500,14.3167,60.0135
6164.0625,14.9992,59.5466
6171.8750,9.9762,48.8478
6179.6875,19.2955,46.9392
6187.5000,24.6763,37.9278
6195.3125,36.2692,34.9364
6203.1250,24.6180,4.5133
6210.9375,26.4526,5.0965
6218.7500,27.3048,9.1984
6226.5625,35.1289,36.1864
6234.3750,17.5385,46.2776
6242.1875,9.5055,43.9136
6250.0000,11.5368,48.0299
6257.8125,13.8971,50.9692
6265.6250,16.6056,52.7410
6273.4375,11.9747,51.4666
6281.2500,24.5992,55.7095
6289.0625,29.6510,44.5429
6296.8750,39.3396,40.5605
6304.6875,43.2723,27.0175
6312.5000,53.1917,29.8563
6320.3125,36.5140,21.5235
6328.1250,31.0655,30.0852
6335.9375,18.0172,37.5775
6343.7500,16.2450,50.4224
6351.5625,11.2225,47.1518
6359.3750,15.8472,46.3395
6367.1875,14.6789,37.6459
6375.0000,18.1637,38.6845
6382.8125,18.8384,33.0540
6390.6250,27.1566,32.0530
6398.4375,35.0723,35.6793
6406.2500,24.2953,24.2932
6414.0625,29.2837,28.4262
6421.8750,22.4985,25.8525
6429.6875,24.1979,48.2334
6437.5000,18.3684,53.9202
6445.3125,28.4216,69.2271
6453.1250,17.6209,60.6985
6460.9375,14.3430,54.6357
6468.7500,13.5219,48.0137
6476.5625,22.0185,51.0256
6484.3750,18.2096,32.8446
6492.1875,20.1139,22.0416
6500.0000,24.7173,22.8966
6507.8125,26.0343,19.3599
6515.6250,29.6515,15.6875
6523.4375,26.9425,25.5297
6531.2500,25.2761,46.0209
6539.0625,13.4393,48.7872
6546.8750,20.4911,62.9344
6554.6875,13.4288,62.0779
6562.5000,15.0961,69.2861
6570.3125,6.0211,55.7512
6578.1250,14.1704,66.9742
6585.9375,16.5587,69.6569
6593.7500,24.0193,75.3738
6601.5625,22.9659,62.4299
6609.3750,30.5486,59.8958
6617.1875,34.9304,61.2718
6625.0000,38.5044,52.5253
6632.8125,35.3678,34.5664
6640.6250,28.2036,23.1993
6648.4375,34.1253,32.7307
